# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
UGC00276,6.9981525,30.7647941,1.019,0.615,33.8,15.446
UGC00279,7.063899,30.8024992,1.168,0.525,112.49,14.127
UGC00282,7.0769415,3.3836312,1,0.132,62,14.828
UGC00283,7.0905,3.3896944,1.065,0.157,168.99,15
PGC2745547,7.1031915,71.7710571,1.13,0.06,140,14.11
UGC00284,7.1432085,33.27225,1.014,0.145,28.9,15.046
IC0018,7.145796,-11.586676,1.034,0.42,29.24,15.03
ESO112-005,7.176453,-59.943516,1.093,0.145,172.51,14.525
ESO350-020,7.190541,-32.4065556,1.026,0.055,112.39,14.607
NGC0125,7.2091665,2.8388889,1.145,0.059,59.83,13.314
PGC001779,7.2663795,-30.8400955,1.042,0.072,138.5,14.798
NGC0128,7.3127445,2.8640425,1.499,0.559,1,12.648
ESO002-009,7.3502235,-83.516744,1.077,0.447,103.34,15.24
NGC0131,7.410492,-33.259799,1.258,0.429,62.46,13.773
ESO194-021,7.423635,-51.520668,1.074,0.069,100.31,13.612
ESO410-013,7.4825925,-27.4971265,1.01,0.454,81.95,15.062
PGC001841,7.5304485,-11.1136152,1.271,0.364,170.72,13.526
ESO350-022,7.533729,-36.8800417,1.06,0.266,43.47,14.917
NGC0132,7.5448215,2.0936411,1.205,0.169,37.75,13.712
NGC0134,7.591251,-33.2440594,1.923,0.67,49.9,11.182
ESO194-022,7.600254,-48.6850503,1.194,0.53,113.72,14.77
PGC001862,7.6243155,-8.7833423,1.122,0.513,148.77,14.779
UGC00305,7.642542,13.3663056,1.111,0.066,120,15.229
ESO410-015,7.668246,-28.7125108,1.13,0.712,95.5,15.204
ESO150-009,7.7222505,-56.4377361,1.016,0.32,,15.23
NGC0137,7.7420835,10.2084444,1.141,0,,13.753
PGC001886,7.7451195,-7.2158232,1.063,0.283,32,14.86
NGC0138,7.746708,5.1597222,1.096,0.287,175,14.731
ESO350-027,7.757952,-36.8894342,1.099,0.193,38.64,15.074
ESO150-010,7.806459,-56.4283333,1.089,0.588,4.56,15.42
ESO350-028,7.808292,-36.8539078,1.058,0.337,39.2,14.769
NGC0143,7.8150915,-22.5599654,1.026,0.518,20.89,15.308
UGC00312,7.849542,8.46675,1.173,0.345,7.8,13.923
ESO194-024,7.855416,-49.5896944,1.044,0.234,56.27,14.55
UGC00313,7.858833,6.20675,1.08,0.23,14.95,14.336
UGC00314,7.872333,8.4006389,1.014,0.316,159.96,14.973
PGC001929,7.881276,-6.1057506,1.013,0.136,127,14.75
PGC001932,7.898904,-10.5063247,1.166,0.389,49.5,14.393
ESO028-023,7.92405,-73.796997,1.123,0.093,155,14.65
NGC0145,7.9406235,-5.152708,1.246,0.091,116.3,13.182
ESO473-025,7.955685,-26.7205248,1.469,0.822,81.58,14.609
ESO079-002,8.0046885,-64.3901506,1.315,0.548,115.91,14.58
ESO079-003,8.008776,-64.2533874,1.472,0.802,131.51,13.79
ESO294-020,8.0393685,-40.2671046,1.239,0.109,12.87,14.45
ESO294-021,8.061975,-41.3838761,1.204,0.442,178.99,14.248
PGC001962,8.070042,-5.1096389,1.041,0.253,124.34,14.895
ESO294-022,8.097921,-42.1734041,1.02,0.098,114.34,14.965
UGC00321,8.135166,23.3951111,1.015,0.584,149.12,15.393
PGC169991,8.1657825,-2.9156935,1.021,0.052,67.18,14.627
IC1553,8.167209,-25.6075388,1.134,0.601,14.54,14.436
PGC001979,8.177664,-11.3181459,1.239,0.724,30.86,14.48
PGC001996,8.2665705,-8.1142537,1.033,0.467,40.19,15.41
IC1554,8.2807095,-32.2583735,1.139,0.237,27.34,13.808
PGC002001,8.292834,-13.1461944,1.022,0.281,122.81,14.74
NGC0147,8.3004165,48.5088889,1.973,0.24,26.13,10.601
PGC002019,8.374167,-56.747125,1.055,0.332,67.27,14.75
UGC00329,8.4006255,2.6809722,1.186,0.341,170.86,15.324
UGC00330,8.42415,39.5447478,1.143,0.451,138.75,14.923
UGC00334,8.4784095,31.4500479,1.238,0.005,,15.236
PGC002029,8.488959,7.2681944,1.174,0.34,147.5,14.733
PGC002034,8.504916,-3.1662222,1.209,0.493,172.19,14.67
NGC0151,8.511672,-9.7053003,1.573,0.21,76.06,12.277
ESO410-018,8.54622,-30.7741844,1.193,0.058,52.57,14.14
PGC002045,8.554833,-7.5647778,1.012,0.5,131.5,15.467
ESO540-001,8.557107,-21.4389112,1.104,0.073,168.63,13.703
